Date,MaxT,MinT,Pcpn,Snow,Snwg
1/1/2015,57,30,0,M,M
1/2/2015,60,32,0,M,M
1/3/2015,62,34,0,M,M
1/4/2015,70,37,0,M,M
1/5/2015,76,53,0,M,M
1/6/2015,81,47,0,M,M
1/7/2015,84,47,0,M,M
1/8/2015,74,48,0,M,M
1/9/2015,71,52,0,M,M
1/10/2015,60,50,0.54,M,M
1/11/2015,63,52,0.47,M,M
1/12/2015,66,46,0,M,M
1/13/2015,70,46,0,M,M
1/14/2015,72,46,0,M,M
1/15/2015,71,43,0,M,M
1/16/2015,75,42,0,M,M
1/17/2015,78,48,0,M,M
1/18/2015,75,49,0,M,M
1/19/2015,75,46,0,M,M
1/20/2015,67,47,0,M,M
1/21/2015,74,49,0,M,M
1/22/2015,73,51,0,M,M
1/23/2015,76,45,0,M,M
1/24/2015,77,56,0,M,M
1/25/2015,80,47,0,M,M
1/26/2015,76,55,0.08,M,M
1/27/2015,71,54,0.01,M,M
1/28/2015,72,51,0,M,M
1/29/2015,74,61,T,M,M
1/30/2015,70,54,0.03,M,M
1/31/2015,72,52,0,M,M
2/1/2015,77,49,0,M,M
2/2/2015,80,47,0,M,M
2/3/2015,77,47,0,M,M
2/4/2015,80,45,0,M,M
2/5/2015,84,48,0,M,M
2/6/2015,77,48,0,M,M
2/7/2015,66,49,0.04,M,M
2/8/2015,76,54,0,M,M
2/9/2015,76,56,0,M,M
2/10/2015,81,58,0,M,M
2/11/2015,82,54,0,M,M
2/12/2015,84,58,0,M,M
2/13/2015,86,52,0,M,M
2/14/2015,85,49,0,M,M
2/15/2015,81,48,0,M,M
2/16/2015,77,49,0,M,M
2/17/2015,74,56,0,M,M
2/18/2015,79,49,0,M,M
2/19/2015,78,49,0,M,M
2/20/2015,72,50,0,M,M
2/21/2015,68,53,0,M,M
2/22/2015,62,52,0.27,M,M
2/23/2015,63,47,0.1,M,M
2/24/2015,72,47,0,M,M
2/25/2015,73,44,0,M,M
2/26/2015,70,45,0,M,M
2/27/2015,64,51,0,M,M
2/28/2015,64,49,0.01,M,M
3/1/2015,64,48,0.73,M,M
3/2/2015,60,44,0.07,M,M
3/3/2015,66,43,0,M,M
3/4/2015,72,43,0,M,M
3/5/2015,76,43,0,M,M
3/6/2015,82,60,0,M,M
3/7/2015,86,53,0,M,M
3/8/2015,81,49,0,M,M
3/9/2015,80,51,0,M,M
3/10/2015,83,49,0,M,M
3/11/2015,73,57,0,M,M
3/12/2015,86,57,0,M,M
3/13/2015,89,65,0,M,M
3/14/2015,92,59,0,M,M
3/15/2015,89,60,0,M,M
3/16/2015,88,59,0,M,M
3/17/2015,82,58,T,M,M
3/18/2015,73,60,0.01,M,M
3/19/2015,79,56,0,M,M
3/20/2015,86,54,0,M,M
3/21/2015,79,58,0,M,M
3/22/2015,73,59,0,M,M
3/23/2015,75,52,0,M,M
3/24/2015,83,58,0,M,M
3/25/2015,88,57,0,M,M
3/26/2015,92,55,0,M,M
3/27/2015,93,58,0,M,M
3/28/2015,87,55,0,M,M
3/29/2015,86,53,0,M,M
3/30/2015,86,53,0,M,M
3/31/2015,80,56,0,M,M
4/1/2015,77,57,0,M,M
4/2/2015,80,56,0,M,M
4/3/2015,84,54,0,M,M
4/4/2015,83,53,0,M,M
4/5/2015,71,51,0,M,M
4/6/2015,65,50,0,M,M
4/7/2015,62,47,0.06,M,M
4/8/2015,71,45,0,M,M
4/9/2015,77,47,0,M,M
4/10/2015,74,49,0,M,M
4/11/2015,75,50,0,M,M
4/12/2015,81,52,0,M,M
4/13/2015,82,55,0,M,M
4/14/2015,82,53,0,M,M
4/15/2015,82,60,0,M,M
4/16/2015,82,58,0,M,M
4/17/2015,86,51,T,M,M
